"id","dzien","godz","tydzien","id_grupy_grup","id_sale","id_wykladowcy","id_zajecia"
"1","Pon"," 7:30- 8:15","p","1","67","465","1"
"2","Czw"," 7:30- 8:15","n","2","71","228","2"
"3","Czw"," 7:30- 8:15","p","3","71","229","2"
"4","Pon"," 8:15- 9:00","p","1","67","465","1"
"5","Wt"," 8:15- 9:00","n","4","66","880","1"
"6","Czw"," 8:15- 9:00","n","2","71","228","2"
"7","Czw"," 8:15- 9:00","p","3","71","229","2"
"8","Wt"," 9:15-10:00","n","5","58","402","3"
"9","Wt"," 9:15-10:00","n","6","58","403","3"
"10","Wt"," 9:15-10:00","n","6","25","58","4"
"11","Wt"," 9:15-10:00","n","5","25","59","4"
"12","Wt"," 9:15-10:00","n","4","66","880","1"
"13","Sr"," 9:15-10:00","n","7","19","100","4"
"14","Sr"," 9:15-10:00","p","7","19","101","4"
"15","Czw"," 9:15-10:00","n","8","71","228","2"
"16","Czw"," 9:15-10:00","p","7","71","229","2"
"17","Wt","10:00-10:45","n","5","58","402","3"
"18","Wt","10:00-10:45","n","6","58","403","3"
"19","Wt","10:00-10:45","n","6","25","58","4"
"20","Wt","10:00-10:45","n","5","25","59","4"
"21","Wt","10:00-10:45","n","4","66","880","1"
"22","Sr","10:00-10:45","n","7","19","100","4"
"23","Sr","10:00-10:45","p","7","19","101","4"
"24","Czw","10:00-10:45","n","8","71","228","2"
"25","Czw","10:00-10:45","p","7","71","229","2"
"26","Wt","11:00-11:45","n","5","157","881","5"
"27","Wt","11:00-11:45","n","6","158","882","5"
"28","Wt","11:00-11:45","n","4","25","883","4"
"29","Wt","11:00-11:45","n","4","159","884","5"
"30","Wt","11:00-11:45","n","6","66","464","1"
"31","Wt","11:00-11:45","p","5","66","465","1"
"32","Sr","11:00-11:45","n","9","4","885","6"
"33","Sr","11:00-11:45","p","9","4","886","6"
"34","Czw","11:00-11:45","n","1","5","74","7"
"35","Czw","11:00-11:45","p","1","5","75","7"
"36","Wt","11:45-12:30","n","5","157","881","5"
"37","Wt","11:45-12:30","n","6","158","882","5"
"38","Wt","11:45-12:30","n","4","25","883","4"
"39","Wt","11:45-12:30","n","4","159","884","5"
"40","Wt","11:45-12:30","n","6","66","464","1"
"41","Wt","11:45-12:30","p","5","66","465","1"
"42","Sr","11:45-12:30","n","9","4","885","6"
"43","Sr","11:45-12:30","p","9","4","886","6"
"44","Czw","11:45-12:30","n","1","5","74","7"
"45","Czw","11:45-12:30","p","1","5","75","7"
"46","Pon","12:45-13:30","n","1","9","62","4"
